nord;east;alt;speed;yaw;grabMsec
55.88677827;37.642756055;161.414;4.552777777777778;-1.0967649019532368;135921
55.88677105499999;37.642762518333335;161.385;4.491666666666667;-1.1082840750163991;136139
55.88676371166666;37.64276888833333;161.354;4.574999999999999;-1.1060151469888067;136335
55.88675657333333;37.64277535833333;161.327;4.561111111111112;-1.1217231102567555;136541
55.88674971833334;37.64278155666667;161.314;4.377777777777777;-1.0890854532444618;136735
55.88674295833333;37.64278742666667;161.315;4.177777777777777;-1.097288500728835;136941
55.886736774999996;37.642793178333335;161.308;4.038888888888889;-1.1309733552923258;137126
55.886730648333334;37.642798555;161.276;3.6916666666666664;-1.072330292425316;137331
55.886724900000004;37.642803755;161.244;3.6638888888888888;-1.122944840733152;137536
55.88671943833333;37.642808644999995;161.267;3.4305555555555554;-1.0965903690280374;137732
55.88671429833333;37.64281313;161.263;3.2444444444444445;-1.1142181944731804;137937
55.886709145000005;37.64281783166667;161.227;2.9833333333333334;-1.1236429724339492;138133
55.88670385333333;37.642822431666666;161.213;3.158333333333333;-1.0829768008624816;138327
55.88669890166666;37.64282705;161.23;3.3694444444444445;-1.1248647029103451;138523
55.88669377333334;37.64283162666666;161.214;3.05;-1.0789625435828945;138739
55.88668856333334;37.642836285;161.181;3.147222222222222;-1.1056660811384078;138935
55.886683350000006;37.642840959999994;161.189;3.302777777777778;-1.1068878116148033;139130
55.886678200000006;37.64284554666666;161.186;3.319444444444444;-1.1091567396423967;139336
55.88667284333333;37.64285019333333;161.189;3.188888888888889;-1.1082840750163991;139542
55.886667405;37.64285505;161.173;3.3944444444444444;-1.125213768760744;139737
55.88666181333333;37.642859896666664;161.146;3.5;-1.0948450397760427;139943
55.88665622833334;37.64286497333333;161.11;3.561111111111111;-1.1238175053591486;140137
55.88665090999999;37.64286959833333;161.1;3.5388888888888888;-1.0885618544688636;140322
55.88664535333334;37.642874645;161.068;3.2499999999999996;-1.1283553614143345;140540
55.88663967666666;37.64287965333333;161.049;3.458333333333333;-1.093972375150046;140734
55.88663403166667;37.642884751666664;161.02;3.6166666666666663;-1.1164871225007724;140951
55.88662815166667;37.64289031333333;161.013;3.5805555555555557;-1.093274243449248;141136
55.886622368333335;37.642895374999995;161.012;3.7861111111111114;-1.0733774899765125;141341
55.88661660333334;37.642900335;161.015;3.636111111111111;-1.1311478882175252;141527
55.88661072166666;37.642905400000004;160.998;3.602777777777778;-1.1283553614143345;141723
55.88660458333334;37.642910781666664;160.956;3.683333333333333;-1.1178833859023682;141939
55.886598478333326;37.642916453333335;160.939;3.9416666666666664;-1.1081095420912002;142135
55.88659231166666;37.64292209;160.948;3.9305555555555554;-1.0730284241261137;142330
55.88658646333333;37.64292713166667;160.957;3.9166666666666665;-1.0930997105240485;142525
55.88658019333334;37.64293271333334;160.931;3.4916666666666667;-1.140398133253095;142731
55.88657361666666;37.642938341666664;160.867;3.9972222222222222;-1.1014772909336217;142939
55.88656745;37.64294422333333;160.856;4.2555555555555555;-1.127133630937938;143135
55.88656097166666;37.64294975;160.818;3.911111111111111;-1.0686651009961277;143330
55.88655476;37.642955235;160.843;4.0472222222222225;-1.1349876125719125;143535
55.886548025;37.642961305;160.799;3.838888888888889;-1.1201523139299607;143721
55.88654141166667;37.64296697333334;160.806;4.322222222222222;-1.097288500728835;143926
55.88653499666666;37.642972754999995;160.81;4.183333333333334;-1.1355112113475108;144132
55.886528285000004;37.64297844833333;160.824;3.9472222222222224;-1.0883873215436641;144338
55.88652189833333;37.64298450666667;160.815;4.188888888888889;-1.1276572297135363;144532
55.886514874999996;37.642990954999995;160.717;4.080555555555556;-1.0620328498385496;144728
55.88650788666667;37.642996415;160.753;4.5249999999999995;-1.0840239984136786;144934
55.88650089333334;37.64300306166667;160.676;4.386111111111111;-1.1986921302697056;145130
55.88649379833334;37.643009955000004;160.584;4.522222222222222;-1.05260807187778;145335
55.88648682166666;37.643016841666665;160.458;4.569444444444444;-1.0477211499721961;145531
55.886479681666664;37.643023555;160.291;4.469444444444444;-1.052433538952581;145737
55.88677827;37.642756055;161.414;4.552777777777778;-1.0967649019532368;135921
55.88677105499999;37.642762518333335;161.385;4.491666666666667;-1.1082840750163991;136139
55.88676371166666;37.64276888833333;161.354;4.574999999999999;-1.1060151469888067;136335
55.88675657333333;37.64277535833333;161.327;4.561111111111112;-1.1217231102567555;136541
55.88674971833334;37.64278155666667;161.314;4.377777777777777;-1.0890854532444618;136735
55.88674295833333;37.64278742666667;161.315;4.177777777777777;-1.097288500728835;136941
55.886736774999996;37.642793178333335;161.308;4.038888888888889;-1.1309733552923258;137126
55.886730648333334;37.642798555;161.276;3.6916666666666664;-1.072330292425316;137331
55.886724900000004;37.642803755;161.244;3.6638888888888888;-1.122944840733152;137536
55.88671943833333;37.642808644999995;161.267;3.4305555555555554;-1.0965903690280374;137732
55.88671429833333;37.64281313;161.263;3.2444444444444445;-1.1142181944731804;137937
55.886709145000005;37.64281783166667;161.227;2.9833333333333334;-1.1236429724339492;138133
55.88670385333333;37.642822431666666;161.213;3.158333333333333;-1.0829768008624816;138327
55.88669890166666;37.64282705;161.23;3.3694444444444445;-1.1248647029103451;138523
55.88669377333334;37.64283162666666;161.214;3.05;-1.0789625435828945;138739
55.88668856333334;37.642836285;161.181;3.147222222222222;-1.1056660811384078;138935
55.886683350000006;37.642840959999994;161.189;3.302777777777778;-1.1068878116148033;139130
55.886678200000006;37.64284554666666;161.186;3.319444444444444;-1.1091567396423967;139336
55.88667284333333;37.64285019333333;161.189;3.188888888888889;-1.1082840750163991;139542
